"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Albania"," Data source"," All types","6.04","5.82","5.76","5.46","5.30","4.67","4.43","4.01","4.71","3.98"
"Albania"," Data source"," Beer","2.20","2.13","1.94","1.79","1.65","1.37","1.45","1.29","1.49","1.33"
"Albania"," Data source"," Wine","1.28","1.20","1.35","1.28","1.33","1.07","0.77","0.54","1.09","0.57"
"Albania"," Data source"," Spirits","2.44","2.38","2.36","2.28","2.23","2.14","2.21","2.18","2.13","2.08"
"Albania"," Data source"," Other alcoholic beverages","0.12","0.11","0.11","0.11","0.09","0.08","0","0","0","0"
"Andorra"," Data source"," All types","10.80","10.97","11.53","12.03","11.96","10.80","10.97","11.53","12.03","11.96"
"Andorra"," Data source"," Beer","3.59","3.56","3.70","3.78","3.64","3.59","3.56","3.70","3.78","3.64"
"Andorra"," Data source"," Wine","4.49","4.57","4.89","5.27","5.39","4.49","4.57","4.89","5.27","5.39"
"Andorra"," Data source"," Spirits","2.72","2.84","2.94","2.99","2.94","2.72","2.84","2.94","2.99","2.94"
"Andorra"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Armenia"," Data source"," All types","3.97","3.96","4.00","4.01","4.25","3.81","3.03","2.93","2.96","2.98"
"Armenia"," Data source"," Beer","0.32","0.41","0.38","0.36","0.27","0.22","0.17","0.17","0.24","0.18"
"Armenia"," Data source"," Wine","0.27","0.23","0.23","0.28","0.46","0.43","0.16","0.28","0.38","0.28"
"Armenia"," Data source"," Spirits","3.37","3.32","3.39","3.38","3.51","3.16","2.70","2.48","2.34","2.52"
"Armenia"," Data source"," Other alcoholic beverages","0.01","0","0","0","0","0","0","0","0","0"
"Austria"," Data source"," All types","11.30","12.00","12.50","12.40","12.40","12.10","12.20","12.50","12.40","13.20"
"Austria"," Data source"," Beer","6.20","6.40","6.40","6.70","6.07","6.70","6.40","6.40","6.60","6.80"
"Austria"," Data source"," Wine","3.40","3.90","4.40","4.20","4.10","3.80","4.10","4.40","4.30","4.30"
"Austria"," Data source"," Spirits","1.70","1.70","1.70","1.50","1.60","1.60","1.70","1.70","1.50","2.10"
"Austria"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan"," Data source"," All types","1.90","1.15","0.98","0.87","0.74","4.39","4.26","4.68","5.70","6.77"
"Azerbaijan"," Data source"," Beer","0.27","0.46","0.34","0.30","0.30","1.46","1.11","1.07","1.02","0.64"
"Azerbaijan"," Data source"," Wine","0.17","0.16","0.13","0.10","0.05","0.06","0.06","0.08","0.11","0.10"
"Azerbaijan"," Data source"," Spirits","1.45","0.53","0.51","0.47","0.40","2.88","3.09","3.53","4.57","6.02"
"Azerbaijan"," Data source"," Other alcoholic beverages","0.01","0","0","0","0","0","0","0","0","0"
"Belarus"," Data source"," All types","13.97","14.54","13.86","12.53","11.05","12.08","11.17","12.23","10.74","12.92"
"Belarus"," Data source"," Beer","2.77","2.92","2.72","2.32","1.85","1.33","3.20","2.73","1.15","1.19"
"Belarus"," Data source"," Wine","0.18","0.18","0.16","0.16","0.14","0.22","0.49","0.41","0.37","0.17"
"Belarus"," Data source"," Spirits","6.11","6.31","5.99","5.24","4.15","3.64","3.80","4.75","4.75","5.03"
"Belarus"," Data source"," Other alcoholic beverages","4.91","5.14","4.99","4.82","4.90","6.89","3.68","3.89","4.47","6.54"
"Belgium"," Data source"," All types","10.10","10.51","13.43","10.94","12.21","12.06","11.31","11.33","11.05","11.25"
