"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"
"Albania"," Data source"," All types","5.07","4.77","4.81","5.06","5.43","5.65","5.53"
"Albania"," Data source"," Beer","1.74","1.57","1.58","1.82","1.81","1.88","1.72"
"Albania"," Data source"," Wine","1.34","1.17","1.12","1.06","1.30","1.27","1.30"
"Albania"," Data source"," Spirits","1.90","1.94","2.02","2.09","2.22","2.40","2.39"
"Albania"," Data source"," Other alcoholic beverages","0.09","0.08","0.09","0.09","0.10","0.10","0.12"
"Andorra"," Data source"," All types","10.06","9.97","9.95","9.78","10.06","10.31","10.64"
"Andorra"," Data source"," Beer","3.43","3.33","3.33","3.11","3.26","3.25","3.54"
"Andorra"," Data source"," Wine","4.22","4.32","4.28","4.33","4.46","4.55","4.38"
"Andorra"," Data source"," Spirits","2.41","2.32","2.34","2.35","2.35","2.51","2.73"
"Andorra"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Armenia"," Data source"," All types","3.77","3.84","3.97","3.72","3.84","4.06","4.23"
"Armenia"," Data source"," Beer","0.40","0.46","0.51","0.42","0.25","0.33","0.39"
"Armenia"," Data source"," Wine","0.26","0.20","0.13","0.13","0.31","0.39","0.30"
"Armenia"," Data source"," Spirits","3.10","3.16","3.32","3.17","3.27","3.33","3.52"
"Armenia"," Data source"," Other alcoholic beverages","0","0","0.01","0.01","0.01","0.01","0.01"
"Austria"," Data source"," All types","","11.40","12.20","11.60","12.10","11.90","12.10"
"Austria"," Data source"," Beer","","6.10","6.30","6.00","6.30","6.10","6.10"
"Austria"," Data source"," Wine","","3.60","4.20","3.90","4.10","4.10","4.30"
"Austria"," Data source"," Spirits","","1.70","1.70","1.70","1.70","1.70","1.70"
"Austria"," Data source"," Other alcoholic beverages","","","0","0","0","0","0"
"Azerbaijan"," Data source"," All types","0.39","0.84","1.95","2.04","1.98","1.94","1.90"
"Azerbaijan"," Data source"," Beer","0.24","0.30","0.19","0.31","0.29","0.28","0.29"
"Azerbaijan"," Data source"," Wine","0.14","0.13","0.15","0.15","0.15","0.15","0.15"
"Azerbaijan"," Data source"," Spirits","0","0.40","1.61","1.57","1.53","1.50","1.46"
"Azerbaijan"," Data source"," Other alcoholic beverages","0.01","0","0.01","0.01","0.01","0.01","0.01"
"Belarus"," Data source"," All types","10.05","10.09","11.71","12.37","14.14","15.05","13.88"
"Belarus"," Data source"," Beer","2.29","2.29","2.48","2.55","2.53","2.60","2.47"
"Belarus"," Data source"," Wine","0.23","0.21","0.24","0.24","0.24","0.23","0.20"
"Belarus"," Data source"," Spirits","4.92","4.62","5.21","5.57","7.10","6.90","5.89"
"Belarus"," Data source"," Other alcoholic beverages","2.61","2.97","3.77","4.01","4.27","5.33","5.31"
"Belgium"," Data source"," All types","","10.36","10.57","10.33","10.09","10.14","10.27"
"Belgium"," Data source"," Beer","","4.60","4.72","4.60","4.78","4.89","5.03"
"Belgium"," Data source"," Wine","","3.97","3.97","3.87","3.72","3.71","3.72"
"Belgium"," Data source"," Spirits","","1.47","1.47","1.42","1.54","1.49","1.48"
"Belgium"," Data source"," Other alcoholic beverages","","0.32","0.41","0.44","0.05","0.05","0.05"
"Bosnia and Herzegovina"," Data source"," All types","4.44","4.33","4.34","4.43","4.69","4.65","4.50"
"Bosnia and Herzegovina"," Data source"," Beer","3.37","3.28","3.20","3.28","3.50","3.43","3.33"
"Bosnia and Herzegovina"," Data source"," Wine","0.38","0.37","0.47","0.47","0.48","0.48","0.44"
"Bosnia and Herzegovina"," Data source"," Spirits","0.55","0.54","0.53","0.54","0.57","0.61","0.62"
"Bosnia and Herzegovina"," Data source"," Other alcoholic beverages","0.14","0.14","0.14","0.14","0.13","0.13","0.12"
"Bulgaria"," Data source"," All types","11.49","11.30","10.67","10.74","11.30","11.05","10.83"
"Bulgaria"," Data source"," Beer","4.45","4.22","4.06","4.26","4.30","4.10","4.01"
"Bulgaria"," Data source"," Wine","1.97","1.96","1.74","1.53","1.93","1.72","1.73"
"Bulgaria"," Data source"," Spirits","4.92","4.99","4.76","4.87","4.98","5.16","5.02"
"Bulgaria"," Data source"," Other alcoholic beverages","0.14","0.13","0.11","0.09","0.08","0.07","0.07"
"Croatia"," Data source"," All types","10.32","9.89","10.64","11.64","11.92","12.43","12.11"
"Croatia"," Data source"," Beer","4.59","4.50","4.26","4.62","4.57","4.74","4.50"
"Croatia"," Data source"," Wine","4.03","3.68","4.67","5.36","5.70","6.05","5.99"
"Croatia"," Data source"," Spirits","1.34","1.34","1.33","1.28","1.25","1.21","1.20"
"Croatia"," Data source"," Other alcoholic beverages","0.36","0.36","0.37","0.37","0.40","0.43","0.43"
"Cyprus"," Data source"," All types","","9.55","9.59","9.04","10.56","10.70","11.32"
"Cyprus"," Data source"," Beer","","2.84","3.21","3.30","3.48","3.53","3.78"
"Cyprus"," Data source"," Wine","","2.71","2.78","2.48","2.61","2.56","2.67"
"Cyprus"," Data source"," Spirits","","4.00","3.60","3.25","4.47","4.61","4.86"
"Cyprus"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Czechia"," Data source"," All types","12.99","12.82","13.06","12.84","12.97","12.61","12.65"
"Czechia"," Data source"," Beer","6.92","6.90","7.15","7.15","7.15","6.79","6.79"
"Czechia"," Data source"," Wine","2.77","2.67","2.70","2.60","2.65","2.58","2.58"
"Czechia"," Data source"," Spirits","3.30","3.25","3.21","3.09","3.17","3.25","3.28"
"Czechia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Denmark"," Data source"," All types","9.55","9.38","9.53","9.43","9.10","10.22","10.24"
"Denmark"," Data source"," Beer","3.57","3.49","3.62","3.51","3.52","3.77","3.90"
"Denmark"," Data source"," Wine","4.27","4.21","4.34","4.35","4.13","4.99","4.88"
"Denmark"," Data source"," Spirits","1.63","1.68","1.57","1.57","1.46","1.46","1.46"
"Denmark"," Data source"," Other alcoholic beverages","0.08","0","0","0","0","0","0"
"Estonia"," Data source"," All types","15.35","16.64","17.29","17.75","16.96","16.27","14.97"
"Estonia"," Data source"," Beer","5.02","5.44","5.66","5.80","5.55","5.32","4.90"
"Estonia"," Data source"," Wine","1.14","1.23","1.28","1.31","1.26","1.20","1.11"
"Estonia"," Data source"," Spirits","7.72","8.37","8.70","8.93","8.53","8.18","7.53"
"Estonia"," Data source"," Other alcoholic beverages","1.47","1.60","1.65","1.71","1.62","1.57","1.43"
"Finland"," Data source"," All types","8.43","8.51","8.75","9.07","9.27","9.81","9.72"
"Finland"," Data source"," Beer","4.11","4.13","4.17","4.28","4.27","4.61","4.47"
"Finland"," Data source"," Wine","1.74","1.75","1.80","1.84","1.89","1.74","1.70"
"Finland"," Data source"," Spirits","1.81","1.84","1.92","2.03","2.15","2.25","2.33"
"Finland"," Data source"," Other alcoholic beverages","0.77","0.79","0.86","0.92","0.96","1.21","1.22"
"France"," Data source"," All types","11.74","11.87","11.97","11.64","12.24","12.37","12.33"
"France"," Data source"," Beer","2.21","2.16","2.26","1.80","2.15","2.10","2.18"
"France"," Data source"," Wine","6.90","7.09","7.04","7.13","7.33","7.41","7.27"
"France"," Data source"," Spirits","2.43","2.42","2.47","2.50","2.54","2.64","2.65"
"France"," Data source"," Other alcoholic beverages","0.20","0.20","0.20","0.21","0.22","0.22","0.23"
"Georgia"," Data source"," All types","7.44","7.44","7.23","7.06","7.59","8.68","8.10"
"Georgia"," Data source"," Beer","1.37","1.37","1.36","1.35","1.26","1.91","1.40"
"Georgia"," Data source"," Wine","3.20","3.10","2.86","2.72","3.31","3.85","3.81"
"Georgia"," Data source"," Spirits","2.86","2.97","3.01","2.98","3.02","2.92","2.89"
"Georgia"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0","0"
"Germany"," Data source"," All types","10.90","11.99","11.60","11.67","11.76","11.87","11.35"
"Germany"," Data source"," Beer","5.74","5.66","5.71","5.71","5.83","5.98","5.91"
"Germany"," Data source"," Wine","3.10","3.84","3.41","3.55","3.47","3.46","3.29"
"Germany"," Data source"," Spirits","2.07","2.49","2.48","2.41","2.46","2.43","2.15"
"Germany"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Greece"," Data source"," All types","6.52","6.64","6.99","7.52","7.62","8.03","8.99"
"Greece"," Data source"," Beer","2.05","2.04","2.09","2.12","2.11","2.10","2.24"
"Greece"," Data source"," Wine","2.96","3.08","3.32","3.81","3.92","4.21","4.78"
"Greece"," Data source"," Spirits","1.42","1.44","1.50","1.50","1.49","1.62","1.84"
"Greece"," Data source"," Other alcoholic beverages","0.08","0.08","0.09","0.09","0.09","0.10","0.13"
"Hungary"," Data source"," All types","","10.90","10.88","10.70","11.14","11.35","10.75"
"Hungary"," Data source"," Beer","","3.93","3.90","3.77","4.06","4.04","3.91"
"Hungary"," Data source"," Wine","","3.41","2.90","3.20","3.20","3.49","3.16"
"Hungary"," Data source"," Spirits","","3.57","4.08","3.73","3.88","3.82","3.68"
"Hungary"," Data source"," Other alcoholic beverages","","","","0","0","0","0"
"Iceland"," Data source"," All types","7.50","7.66","7.01","6.80","6.82","6.84","6.79"
"Iceland"," Data source"," Beer","4.24","4.26","3.87","3.74","3.78","3.68","3.71"
"Iceland"," Data source"," Wine","2.09","2.15","2.02","1.96","1.95","1.90","1.87"
"Iceland"," Data source"," Spirits","1.16","1.25","1.13","1.10","1.10","1.26","1.21"
"Ireland"," Data source"," All types","11.46","10.93","11.00","10.64","11.53","11.65","11.63"
"Ireland"," Data source"," Beer","5.39","5.14","5.17","5.00","5.42","5.48","5.47"
"Ireland"," Data source"," Wine","3.21","3.06","3.08","2.98","3.23","3.26","3.26"
"Ireland"," Data source"," Spirits","2.15","1.97","1.98","1.92","2.08","2.10","2.09"
"Ireland"," Data source"," Other alcoholic beverages","0.71","0.77","0.77","0.74","0.81","0.82","0.81"
"Israel"," Data source"," All types","2.64","2.61","2.71","2.86","2.81","2.66","2.63"
"Israel"," Data source"," Beer","1.44","1.41","1.39","1.36","1.28","1.21","1.15"
"Israel"," Data source"," Wine","0.12","0.11","0.23","0.23","0.23","0.18","0.18"
"Israel"," Data source"," Spirits","1.05","1.05","1.05","1.21","1.25","1.22","1.24"
"Israel"," Data source"," Other alcoholic beverages","0.04","0.04","0.04","0.05","0.05","0.05","0.06"
"Italy"," Data source"," All types","7.08","7.14","7.56","7.35","7.48","6.98","6.95"
"Italy"," Data source"," Beer","1.80","1.78","1.73","1.70","1.70","1.69","1.66"
"Italy"," Data source"," Wine","4.58","4.61","4.97","4.86","4.99","4.45","4.45"
"Italy"," Data source"," Spirits","0.69","0.74","0.86","0.79","0.79","0.84","0.84"
"Italy"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Kazakhstan"," Data source"," All types","5.80","5.92","6.06","6.26","6.48","6.35","6.59"
"Kazakhstan"," Data source"," Beer","1.77","1.78","1.79","1.92","1.98","1.86","2.04"
"Kazakhstan"," Data source"," Wine","0.38","0.38","0.37","0.37","0.37","0.35","0.35"
"Kazakhstan"," Data source"," Spirits","3.65","3.76","3.89","3.97","4.14","4.14","4.21"
"Kazakhstan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Kyrgyzstan"," Data source"," All types","3.91","4.70","5.59","5.72","5.83","6.02","6.08"
"Kyrgyzstan"," Data source"," Beer","0.45","0.59","0.57","0.55","0.55","0.58","0.53"
"Kyrgyzstan"," Data source"," Wine","0.08","0.09","0.12","0.12","0.12","0.12","0.12"
"Kyrgyzstan"," Data source"," Spirits","3.37","4.02","4.89","5.05","5.15","5.32","5.43"
"Kyrgyzstan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Latvia"," Data source"," All types","11.19","10.82","10.60","10.43","10.20","10.11","9.83"
"Latvia"," Data source"," Beer","4.79","4.80","4.80","4.70","4.67","4.86","4.61"
"Latvia"," Data source"," Wine","1.24","1.24","1.20","1.10","1.16","1.13","1.05"
"Latvia"," Data source"," Spirits","4.48","4.13","4.00","3.99","3.77","3.57","3.64"
"Latvia"," Data source"," Other alcoholic beverages","0.68","0.65","0.60","0.64","0.60","0.55","0.53"
"Lithuania"," Data source"," All types","13.61","14.42","14.82","15.14","15.15","14.88","13.61"
"Lithuania"," Data source"," Beer","5.93","6.28","6.45","6.71","6.60","6.48","5.93"
"Lithuania"," Data source"," Wine","0.99","1.03","1.08","1.10","1.10","1.08","0.99"
"Lithuania"," Data source"," Spirits","5.05","5.35","5.50","5.62","5.62","5.52","5.05"
"Lithuania"," Data source"," Other alcoholic beverages","1.65","1.76","1.79","1.72","1.83","1.80","1.65"
"Luxembourg"," Data source"," All types","11.22","11.83","11.69","11.55","11.89","12.01","11.72"
"Luxembourg"," Data source"," Beer","3.97","3.91","3.99","3.76","3.99","4.04","4.05"
"Luxembourg"," Data source"," Wine","5.00","5.47","5.23","5.34","5.40","5.44","5.28"
"Luxembourg"," Data source"," Spirits","2.25","2.46","2.48","2.46","2.50","2.54","2.40"
"Luxembourg"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Malta"," Data source"," All types","8.02","7.75","7.88","7.97","7.92","7.12","7.52"
"Malta"," Data source"," Beer","2.94","2.96","2.88","2.90","3.07","2.58","2.89"
"Malta"," Data source"," Wine","2.37","2.21","2.49","2.50","2.51","2.35","2.58"
"Malta"," Data source"," Spirits","2.27","2.16","2.11","2.18","1.98","1.85","1.72"
"Malta"," Data source"," Other alcoholic beverages","0.44","0.42","0.40","0.40","0.36","0.33","0.33"
"Montenegro"," Data source"," All types","","6.41","6.53","6.47","6.49","6.38","7.26"
"Montenegro"," Data source"," Beer","","0.69","0.69","0.69","0.80","0.72","0.73"
"Montenegro"," Data source"," Wine","","2.76","3.00","3.01","3.02","3.05","3.99"
"Montenegro"," Data source"," Spirits","","2.83","2.71","2.63","2.54","2.47","2.37"
"Montenegro"," Data source"," Other alcoholic beverages","","0.13","0.13","0.13","0.13","0.15","0.16"
"Netherlands"," Data source"," All types","","8.03","8.16","8.54","9.28","9.17","9.32"
"Netherlands"," Data source"," Beer","","3.83","3.84","4.21","4.34","4.35","4.36"
"Netherlands"," Data source"," Wine","","2.88","3.00","3.01","3.37","3.38","3.39"
"Netherlands"," Data source"," Spirits","","1.32","1.32","1.32","1.57","1.45","1.57"
"Netherlands"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Norway"," Data source"," All types","6.03","5.97","6.06","6.22","6.21","6.44","6.59"
"Norway"," Data source"," Beer","2.65","2.57","2.62","2.68","2.67","2.83","2.91"
"Norway"," Data source"," Wine","2.21","2.22","2.25","2.30","2.29","2.30","2.29"
"Norway"," Data source"," Spirits","1.01","1.03","1.04","1.09","1.11","1.18","1.25"
"Norway"," Data source"," Other alcoholic beverages","0.16","0.15","0.15","0.14","0.14","0.13","0.14"
"Poland"," Data source"," All types","10.43","10.48","10.45","10.79","10.19","10.21","10.04"
"Poland"," Data source"," Beer","5.85","5.83","5.80","5.74","5.83","5.54","5.30"
"Poland"," Data source"," Wine","0.82","0.89","0.89","0.82","0.83","0.90","0.97"
"Poland"," Data source"," Spirits","3.76","3.76","3.76","4.23","3.53","3.76","3.76"
"Poland"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Portugal"," Data source"," All types","10.66","10.54","10.35","10.54","10.86","11.91","12.23"
"Portugal"," Data source"," Beer","2.79","2.69","2.71","2.81","2.82","3.12","3.36"
"Portugal"," Data source"," Wine","6.55","6.54","6.38","6.50","6.76","7.43","7.47"
"Portugal"," Data source"," Spirits","0.82","0.82","0.82","0.82","0.86","0.92","0.93"
"Portugal"," Data source"," Other alcoholic beverages","0.50","0.48","0.44","0.41","0.42","0.45","0.47"
"Republic of Moldova"," Data source"," All types","9.30","9.39","9.14","9.62","9.85","8.67","7.55"
"Republic of Moldova"," Data source"," Beer","1.50","1.52","1.62","1.78","1.95","1.83","1.65"
"Republic of Moldova"," Data source"," Wine","5.26","5.25","4.84","4.85","4.86","3.58","2.59"
"Republic of Moldova"," Data source"," Spirits","2.35","2.43","2.47","2.77","2.82","3.04","3.09"
"Republic of Moldova"," Data source"," Other alcoholic beverages","0.19","0.19","0.21","0.22","0.21","0.21","0.22"
"Romania"," Data source"," All types","","10.40","10.46","10.59","10.55","10.40","10.79"
