"","COUNTRY","YEAR","UNEMP","INCOME","BEER","OTHER","SPIRITS","WINE","MORTALITY"
"1","Belgium","2001",6.6,18850,6.08,0.04,0.93,3.99,22.8403844341005
"2","Bulgaria","2001",19.6,4302,3.22,0,4.77,3.23,36.0615377936787
"3","Czechia","2001",8.1,10806,7.46,0,3.92,2.38,72.2685875110239
"4","Denmark","2001",4.5,15333,5.56,0,1.39,4.59,56.1382696756445
"5","Germany","2001",7.8,19693,6.71,0,2.54,3.21,42.6005846255883
"6","Estonia","2001",13,6430,4.52,0.28,4.1,0.32,62.2479238277063
"7","Ireland","2001",4.2,16108,7.76,1.34,3.02,1.94,58.8359241127019
"8","Greece","2001",10.7,14200,2.35,0.03,2.49,4.45,28.6330733428041
"9","Spain","2001",10.6,15155,3.91,0,4.23,4.2,52.7234215906237
"10","France","2001",7.8,18955,2.15,0.56,2.77,8.4,60.9826089069885
"11","Croatia","2001",16,8422,5.26,0.04,1.84,7.42,86.1057480148313
"12","Italy","2001",9,18447,1.69,0,1.07,6.93,40.662051128451
"13","Cyprus","2001",3.9,13244,3.71,0,3.97,2.47,17.3345085279574
"14","Latvia","2001",13.5,5665,2.12,0.14,3.04,1.38,53.1809332596299
"15","Lithuania","2001",17.4,6670,4,0.64,3.67,1.89,72.0752929382955
"16","Luxembourg","2001",1.9,25871,4.43,0,2.66,5.81,44.6951248698195
"17","Hungary","2001",5.6,8550,4.25,0,4.07,4.86,124.79809093243
"18","Netherlands","2001",3.1,19939,4.87,0,2.1,2.98,19.3593109348101
"19","Austria","2001",4,19162,6.6,0,1.5,4.3,43.3465461744222
"20","Poland","2001",18.3,8265,4.08,0,2.09,1.56,43.8410312419072
"21","Portugal","2001",5.1,13783,3.65,0.33,1.6,7.83,93.5439094497095
"22","Romania","2001",7.4,4465,3.12,0,3.5,3.16,138.723640975608
"23","Slovenia","2001",6.2,12589,4.65,0,1.87,5.07,40.2965356776902
"24","Slovakia","2001",19.5,8295,4.32,0.37,4.56,1.48,57.1872553377801
"25","Finland","2001",9.1,14637,4.37,1.06,2.32,1.19,32.2484125052309
"26","Sweden","2001",5.8,16431,2.7,0,1.4,2.5,20.589659604156
"27","United Kingdom","2001",5,18316,5.06,0.61,2.03,3.6,15.0873376281201
"28","Belgium","2002",7.5,19421,6.09,0.04,0.95,4.26,25.0733694928423
"29","Bulgaria","2002",18.2,4871,2.98,0,4.88,2.75,35.9309264542757
"30","Czechia","2002",7.3,11015,7.57,0,3.9,2.25,71.3016294527759
"31","Denmark","2002",4.6,16135,5.48,0,1.42,4.43,58.4182123153016
"32","Germany","2002",8.6,19837,6.67,0,2.44,3.14,41.8655937863607
"33","Estonia","2002",11.2,6865,4.63,0.32,5.05,0.36,68.0294493566812
"34","Ireland","2002",4.7,16552,7.56,1.16,3.11,2.14,56.6106485915872
"35","Greece","2002",10.3,15274,2.38,0.03,2.57,3.69,27.4031293270114
"36","Spain","2002",11.5,15959,3.83,0,2.89,4.02,51.6605553275939
"37","France","2002",7.9,19741,2.25,0.2,2.74,8.59,59.4069804066671
"38","Croatia","2002",15.3,8422,5.03,0.03,1.81,7.95,84.4731305363103
"39","Italy","2002",8.5,18774,1.64,0,1.07,6.54,38.2558863235172
"40","Cyprus","2002",3.5,13348,3.5,0,5.47,2.7,16.7578989303112
"41","Latvia","2002",12.5,6356,2.74,0.16,3.04,1.5,55.1444866676725
"42","Lithuania","2002",13.8,7342,4.66,0.69,3.59,2.06,77.0460867855155
"43","Luxembourg","2002",2.6,27753,4.46,0,2.59,5.86,49.5736551879977
"44","Hungary","2002",5.6,9239,4.34,0,4.06,4.88,123.154677070728
"45","Netherlands","2002",3.7,20687,4.83,0,2.01,2.84,19.3509773299087
"46","Austria","2002",4.4,19767,6.4,0,1.7,4.4,42.5246395748463
"47","Poland","2002",20,8564,4.31,0,2.07,1.64,45.2717914648936
"48","Portugal","2002",6.2,14082,3.58,0.35,1.59,7.71,90.4869615235964
"49","Romania","2002",8.3,4666,3.38,0,2.32,3.92,140.068421737474
"50","Slovenia","2002",6.3,13261,4.32,0,1.69,3.86,38.5498469492858
"51","Slovakia","2002",18.8,8810,4.53,0.37,4.29,1.59,56.1273864483659
"52","Finland","2002",9.1,15280,4.43,1.14,2.37,1.31,32.5496613396511
"53","Sweden","2002",6,17094,2.7,0,1.4,2.8,20.8470245408446
"54","United Kingdom","2002",5.1,18903,5.11,0.61,2.32,3.27,15.9215838417139
"55","Belgium","2003",8.2,19363,6.14,0.04,1.07,4.06,27.4359369688621
"56","Bulgaria","2003",13.7,5204,3.3,0,4.96,2.93,36.7884453549801
"57","Czechia","2003",7.8,11512,7.63,0,4.01,2.24,71.5599813986906
"58","Denmark","2003",5.4,16222,5.47,0,1.6,4.47,58.7638362986544
"59","Germany","2003",9.7,20401,6.43,0,2.35,3.14,41.4629361413695
"60","Estonia","2003",10.3,7368,4.59,0.49,6.11,0.37,72.682051668535
"61","Ireland","2003",4.8,17082,7.22,1.15,2.43,2.26,53.2028680531689
"62","Greece","2003",9.7,15839,2.25,0.03,2.63,4.58,27.2849583431355
"63","Spain","2003",11.5,16164,4.11,0,3.42,3.82,52.6407842639567
"64","France","2003",8.5,19203,2.29,0.19,2.65,8.36,57.7983331686375
"65","Croatia","2003",14.1,8714,5.14,0.03,1.83,6.81,81.9655663846361
"66","Italy","2003",8.4,18961,1.75,0,1.07,6.47,36.7385469912518
"67","Cyprus","2003",4.1,14093,3.56,0,4.55,2.5,16.1173400979782
"68","Latvia","2003",11.6,6836,2.97,0.16,3.33,1.78,54.6943778690409
"69","Lithuania","2003",12.4,8169,4.58,0.76,3.71,2.24,82.7474233864968
"70","Luxembourg","2003",3.8,28104,4.36,0,2.5,5.75,53.7235882518715
"71","Hungary","2003",5.8,9745,4.47,0,4.17,4.6,122.154853483468
"72","Netherlands","2003",4.8,19924,4.81,0,1.81,2.94,19.4308419738737
"73","Austria","2003",4.8,20429,6.4,0,1.7,4.1,41.4233872393143
"74","Poland","2003",19.8,8643,4.51,0,2.9,1.64,46.9210233683259
"75","Portugal","2003",7.4,14323,3.57,0.33,1.57,8.74,87.1380538196097
"76","Romania","2003",7.7,4438,3.64,0,1.82,3.33,137.160114556079
"77","Slovenia","2003",6.7,13255,4.51,0,1.58,5.46,37.4048897977473
"78","Slovakia","2003",17.7,8652,4.38,0.36,3.65,1.46,53.6194729475285
